Title,Artist
Like A Rolling Stone, Bob Dylan
(I Can’t Get No) Satisfaction,The Rolling Stones
Good Vibrations,The Beach Boys
Imagine, John Lennon
Smells Like Teen Spirit, Nirvana
Respect, Aretha Franklin
Strawberry Fields Forever,The Beatles
What’s Going On, Marvin Gaye
God Only Knows,The Beach Boys
Hey Jude,The Beatles
London Calling,The Clash
Johnny B. Goode, Chuck Berry
Waterloo Sunset,The Kinks
My Generation,The Who
Yesterday,The Beatles
Gimme Shelter,The Rolling Stones
Blowin’ In The Wind, Bob Dylan
(Sittin’ On) The Dock Of The Bay, Otis Redding
Purple Haze, Jimi Hendrix (Experience)
What’d I Say, Ray Charles
Jumpin’ Jack Flash,The Rolling Stones
Sympathy For The Devil,The Rolling Stones
Heartbreak Hotel, Elvis Presley
Thunder Road, Bruce Springsteen
A Change Is Gonna Come, Sam Cooke
A Day In The Life,The Beatles
Born To Run, Bruce Springsteen
Redemption Song, Bob Marley & The Wailers
River Deep Mountain High, Ike & Tina Turner
Tangled Up In Blue, Bob Dylan
Help!,The Beatles
Louie Louie, Kingsmen
Sail Away, Randy Newman
No Woman No Cry, Bob Marley & The Wailers
One, U2
I Walk The Line, Johnny Cash
I Want To Hold Your Hand,The Beatles
Cortez The Killer, Neil Young
Maybellene, Chuck Berry
Hound Dog, Elvis Presley
Virginia Plain, Roxy Music
Let It Be,The Beatles
Be My Baby,The Ronettes
In My Life,The Beatles
All Along The Watchtower, Jimi Hendrix (Experience)
People Get Ready,The Impressions
Layla, Derek & The Dominos
In Germany Before The War, Randy Newman
Anarchy In The UK,The Sex Pistols
She Loves You,The Beatles
Stairway To Heaven, Led Zeppelin
Don’t Worry Baby,The Beach Boys
Billie Jean, Michael Jackson
Weißes Papier, Element Of Crime
Memo From Turner, Mick Jagger
Teenage Kicks,The Undertones
You’ve Lost That Lovin’ Feeling,The Righteous Brothers
Light My Fire,The Doors
Whole Lotta Love, Led Zeppelin
Space Oddity, David Bowie
Subterranean Homesick Blues, Bob Dylan
While My Guitar Gently Weeps,The Beatles
You Really Got Me,The Kinks
That’ll Be The Day, Buddy Holly
I Heard It Through The Grapevine, Marvin Gaye
Alison, Elvis Costello
Dancing In The Street, Martha & The Vandellas
Mystery Train, Elvis Presley
The Weight,The Band
Visions Of Johanna, Bob Dylan
See Emily Play, Pink Floyd
Summertime Blues, Eddie Cochran
Tutti Frutti, Little Richard
Proud Mary, Creedence Clearwater Revival
Honky Tonk Women,The Rolling Stones
California Dreamin’,The Mamas & The Papas
Georgia On My Mind, Ray Charles
Heroes, David Bowie
Bridge Over Troubled Water, Simon & Garfunkel
Hotel California, Eagles
I’m Waiting For The Man,The Velvet Underground
The Tracks Of My Tears, Smokey Robinson & The Miracles
Tumbling Dice,The Rolling Stones
Boots Of Spanish Leather, Bob Dylan
Kathleen, Tindersticks
The Message, Grandmaster Flash & The Furious Five
When Doves Cry, Prince
Losing My Religion, R.E.M.
Ballad Of A Thin Man, Bob Dylan
Live Forever, Oasis
Eight Miles High,The Byrds
"Paint It, Black",The Rolling Stones
With Or Without You, U2
Good Times, Chic
When A Man Loves A Woman, Percy Sledge
Political Science, Randy Newman
Desolation Row, Bob Dylan
Long Tall Sally, Little Richard
A Whiter Shade Of Pale, Procol Harum
The Times They Are A-Changin’, Bob Dylan
Like A Rolling Stone, Bob Dylan
(I Can’t Get No) Satisfaction,The Rolling Stones
Good Vibrations,The Beach Boys
Imagine, John Lennon
Smells Like Teen Spirit, Nirvana
Respect, Aretha Franklin
Strawberry Fields Forever,The Beatles
What’s Going On, Marvin Gaye
God Only Knows,The Beach Boys
Hey Jude,The Beatles
London Calling,The Clash
Johnny B. Goode, Chuck Berry
Waterloo Sunset,The Kinks
My Generation,The Who
Yesterday,The Beatles
Gimme Shelter,The Rolling Stones
Blowin’ In The Wind, Bob Dylan
(Sittin’ On) The Dock Of The Bay, Otis Redding
Purple Haze, Jimi Hendrix (Experience)
What’d I Say, Ray Charles
Jumpin’ Jack Flash,The Rolling Stones
Sympathy For The Devil,The Rolling Stones
Heartbreak Hotel, Elvis Presley
Thunder Road, Bruce Springsteen
A Change Is Gonna Come, Sam Cooke
A Day In The Life,The Beatles
Born To Run, Bruce Springsteen
Redemption Song, Bob Marley & The Wailers
River Deep Mountain High, Ike & Tina Turner
Tangled Up In Blue, Bob Dylan
Help!,The Beatles
Louie Louie, Kingsmen
Sail Away, Randy Newman
No Woman No Cry, Bob Marley & The Wailers
One, U2
I Walk The Line, Johnny Cash
I Want To Hold Your Hand,The Beatles
Cortez The Killer, Neil Young
Maybellene, Chuck Berry
Hound Dog, Elvis Presley
Virginia Plain, Roxy Music
Let It Be,The Beatles
Be My Baby,The Ronettes
In My Life,The Beatles
All Along The Watchtower, Jimi Hendrix (Experience)
People Get Ready,The Impressions
Layla, Derek & The Dominos
In Germany Before The War, Randy Newman
Anarchy In The UK,The Sex Pistols
She Loves You,The Beatles
Stairway To Heaven, Led Zeppelin
Don’t Worry Baby,The Beach Boys
Billie Jean, Michael Jackson
Weißes Papier, Element Of Crime
Memo From Turner, Mick Jagger
Teenage Kicks,The Undertones
You’ve Lost That Lovin’ Feeling,The Righteous Brothers
Light My Fire,The Doors
Whole Lotta Love, Led Zeppelin
Space Oddity, David Bowie
Subterranean Homesick Blues, Bob Dylan
While My Guitar Gently Weeps,The Beatles
You Really Got Me,The Kinks
That’ll Be The Day, Buddy Holly
I Heard It Through The Grapevine, Marvin Gaye
Alison, Elvis Costello
Dancing In The Street, Martha & The Vandellas
Mystery Train, Elvis Presley
The Weight,The Band
Visions Of Johanna, Bob Dylan
See Emily Play, Pink Floyd
Summertime Blues, Eddie Cochran
Tutti Frutti, Little Richard
Proud Mary, Creedence Clearwater Revival
Honky Tonk Women,The Rolling Stones
California Dreamin’,The Mamas & The Papas
Georgia On My Mind, Ray Charles
Heroes, David Bowie
Bridge Over Troubled Water, Simon & Garfunkel
Hotel California, Eagles
I’m Waiting For The Man,The Velvet Underground
The Tracks Of My Tears, Smokey Robinson & The Miracles
Tumbling Dice,The Rolling Stones
Boots Of Spanish Leather, Bob Dylan
Kathleen, Tindersticks
